"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Brócoli crudo","1","taza",1.5,28.5,3.2,0.4,5.6,0,0,0.8
"Champiñón cocido rebanado"," 1/2","taza",2.5,45,6.2,0.5,7,0,0,1
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",7,161,9.1,0.7,37.1,0,0,5.6
"Queso panela","40","g",11,638,67.1,30.8,22,0,0,0
"Falafel, hecho en casa","20","g",2,134,5.4,7,12.8,0,0,0
"Aceite de oliva","1","Cucharadita",41,1804,0,28.7,151.7,0,0,0
"Total","-","-",69,3202.5,128.6,88.5,258.6,0,2.4,11.4
