"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Cebolla blanca rebanada"," 1/2","taza",15,345,9,1.5,81,0,0,12.2
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",11.5,264.5,15,1.2,60.9,0,0,9.1
"Queso panela","40","g",11,638,67.1,30.8,22,0,0,0
"Aceite de oliva","1","Cucharadita",16.5,726,0,11.5,61.1,0,0,0
"Total","-","-",58,2365.5,128.7,65.4,247.4,0,2.4,25.3
