"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Cebolla blanca rebanada"," 1/2","taza",1,23,0.6,0.1,5.4,0,0,0.8
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",11.5,264.5,15,1.2,60.9,0,0,9.1
"Queso panela","40","g",11,638,67.1,30.8,22,0,0,0
"Aceite de oliva","1","Cucharadita",25.5,1122,0,17.8,94.4,0,0,0
"Total","-","-",53,2439.5,120.3,70.3,205.1,0,2.4,13.9
