"Componente","Porciones_Actuales","Recomendacion","Puntuacion","Estado"
"Frutas",2,"≥2.0",10,"✓ Cumple"
"Verduras",17.5,"≥2.5",10,"✓ Cumple"
"Legumbres",4,"≥0.3",10,"✓ Cumple"
"Cereales",1,"≥1.0",10,"✓ Cumple"
"Aceites/Grasas",6,"≥1.0",10,"✓ Cumple"
"Lácteos",1.5,"1.5-4.5",10,"✓ Cumple"
"Carnes",4,"≤4.0",10,"✓ Cumple"
"Azúcares",0,"≤2.0",10,"✓ Cumple"
"Variedad",NA,"Máxima",10,"6/6 grupos"
"Practicidad",NA,"Alta",10,"✓ Práctica"
