"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Cebolla blanca rebanada"," 1/2","taza",4.5,103.5,2.7,0.4,24.3,0,0,3.6
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",13.5,310.5,17.6,1.4,71.6,0,0,10.7
"Queso panela","40","g",11,638,67.1,30.8,22,0,0,0
"Falafel, hecho en casa","20","g",1.5,100.5,4.1,5.2,9.6,0,0,0
"Aceite de oliva","1","Cucharadita",29.5,1298,0,20.6,109.2,0,0,0
"Total","-","-",64,2842.5,129.1,78.8,259.1,0,2.4,18.3
