"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Cebolla blanca rebanada"," 1/2","taza",9,207,5.4,0.9,48.6,0,0,7.3
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",11.5,264.5,15,1.2,60.9,0,0,9.1
"Queso panela","40","g",11,638,67.1,30.8,22,0,0,0
"Aceite de oliva","1","Cucharadita",16,704,0,11.2,59.2,0,0,0
"Total","-","-",51.5,2205.5,125.1,64.5,213.1,0,2.4,20.4
