"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Apio crudo","1 1/2","taza",2.5,55,2.2,0.5,10,0,0,1.5
"Brócoli crudo","1","taza",1.5,28.5,3.2,0.4,5.6,0,0,0.8
"Arúgula cruda","4","taza",2,40,4.2,1,5.8,0,0,0.9
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Queso panela","40","g",11,638,67.1,30.8,22,0,0,0
"Aceite de oliva","1","Cucharadita",39,1716,0,27.3,144.3,0,0,0
"Total","-","-",60,2869.5,114.3,80.4,210.1,0,2.4,7.2
