"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Cebolla blanca rebanada"," 1/2","taza",11,253,6.6,1.1,59.4,0,0,8.9
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",13.5,310.5,17.6,1.4,71.6,0,0,10.7
"Queso panela","40","g",8,464,48.8,22.4,16,0,0,0
"Aceite de oliva","1","Cucharadita",5,220,0,3.5,18.5,0,0,0
"Total","-","-",41.5,1639.5,110.6,48.8,187.9,0,2.4,23.6
