"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Cebolla blanca rebanada"," 1/2","taza",15.5,356.5,9.3,1.6,83.7,0,0,12.6
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",12.5,287.5,16.2,1.2,66.2,0,0,9.9
"Queso panela","40","g",10,580,61,28,20,0,0,0
"Aceite de oliva","1","Cucharadita",4.5,198,0,3.1,16.7,0,0,0
"Total","-","-",46.5,1814,124.1,54.3,209,0,2.4,26.5
