"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Cebolla blanca rebanada"," 1/2","taza",6,138,3.6,0.6,32.4,0,0,4.9
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebollita de cambray sin raiz","3","pieza",15,345,19.5,1.5,79.5,0,0,11.9
"Queso panela","40","g",6.5,377,39.6,18.2,13,0,0,0
"Aceite de oliva","1","Cucharadita",5.5,242,0,3.8,20.4,0,0,0
"Total","-","-",37,1494,100.3,44.5,167.7,0,2.4,20.8
